merchant_id,name,category,created_at
merch_001,Kirana Express,fitness,2024-06-10T23:21:41
merch_002,Urban Threads,retail,2025-10-13T11:30:11
merch_003,PixelCraft Studio,services,2024-09-22T17:06:54
merch_004,GreenLeaf Organics,food,2024-07-02T21:10:31
merch_005,SwiftCart,fitness,2024-06-04T02:38:54
merch_006,BrewHouse Coffee,fitness,2025-10-12T19:02:50
merch_007,FitZone Gym,travel,2024-05-23T00:39:26
merch_008,PageTurner Books,travel,2025-02-07T05:11:34
merch_009,TechNest Gadgets,retail,2024-04-08T15:27:37
merch_010,Sunrise Bakery,retail,2024-09-02T07:42:26
merch_011,MetroCabs,food,2025-04-13T00:30:19
merch_012,CloudDesk SaaS,travel,2024-04-06T02:39:58
merch_013,PetPals Store,travel,2024-08-17T22:36:08
merch_014,Artisan Wood Co,fitness,2025-08-03T06:43:26
merch_015,Zenith Fitness,fitness,2025-05-13T18:26:43
merch_016,QuickFix Repairs,saas,2024-09-03T17:18:39
merch_017,Bloom Florist,saas,2025-06-17T04:42:30
merch_018,NightOwl Cinema,services,2025-12-05T04:52:38
merch_019,TrailBlazer Outdoors,retail,2025-10-26T21:11:40
merch_020,PureGlow Skincare,food,2025-09-09T18:15:41
merch_021,CampusEats,saas,2024-12-05T18:43:45
merch_022,VoltCharge EV,services,2024-07-15T06:20:52
merch_023,Wanderlust Travels,food,2025-10-30T12:33:43
merch_024,CraftBrew Taproom,services,2024-06-03T21:20:15
merch_025,NimbusCloud Hosting,retail,2025-01-05T14:21:29
